										
161	FEKDIL	15.8	16	15.7	15.8	15.8	0	533	14.1800	894,909
162	GEMINISEA	151.1	157	150.5	151.1	151.7	-0.6	906	14.1190	92,295
163	BDTHAI	13.5	13.7	13.4	13.5	13.6	-0.1	494	14.0740	1,038,466
164	MLDYEING	9.7	9.8	9.6	9.7	9.7	0	365	13.9830	1,441,167
165	BNICL	41.4	42	40	41.4	40	1.4	600	13.6170	330,249
166	ACI	192.5	198.4	192	192.5	195.7	-3.2	490	13.4520	68,958
167	FARCHEM	23.7	24	22.7	23.7	22.7	1	624	13.3530	570,833
168	DOREENPWR	25.7	26.6	25.6	25.7	26.4	-0.7	601	13.3080	513,685
169	MHSML	15.4	16	15.3	15.4	15.9	-0.5	487	12.9430	829,069
170	RUPALIINS	22.5	22.5	21.5	22.3	21.6	0.9	451	12.8500	580,707
171	CAPITECGBF	7.6	7.7	7.5	7.6	7.5	0.1	389	12.8490	1,696,812
172	ABBANK	7.1	7.2	7	7.1	7.1	0	387	12.8100	1,814,597
173	BBS	11.2	11.6	11.1	11.2	11.4	-0.2	854	12.6590	1,122,546
174	SONARGAON	34	34.4	33.8	34	33.9	0.1	505	12.4400	365,175
175	APEXFOOT	222.8	225.7	221.8	222.8	223.3	-0.5	346	12.4290	55,518
176	UNIQUEHRL	40.1	40.8	39.8	40.1	40.3	-0.2	570	12.2360	304,322
177	ICBSONALI1	5.8	6	5.7	5.8	5.8	0	290	12.0030	2,061,485
178	SUMITPOWER	14.9	15.3	14.9	14.9	15	-0.1	467	11.9890	796,520
179	SICL	22.4	22.6	21.5	22.4	21.6	0.8	600	11.9750	541,074
180	SAMATALETH	67.9	72.9	67	67.9	70.3	-2.4	678	11.8340	169,947
181	ISNLTD	43.2	43.5	42.8	43.2	42.6	0.6	424	11.8280	274,243
182	SHEPHERD	18.1	18.4	17.9	18.1	18.1	0	210	11.7650	646,921
183	BATASHOE	907.3	917.7	900	907.3	914	-6.7	452	11.6480	12,874
184	PROVATIINS	32.4	32.4	30.9	32.1	31.1	1.3	521	11.6370	364,810
